date,source,campaign,cost
2020-01-16,google_ads,lal|487809,548.77
2020-01-16,vk,lal|727027,439.21
2020-01-16,yandex_direct,gnrl|326308,234.64
2020-01-16,yandex_direct,gnrl|445275,131.96
2020-01-16,yandex_direct,gnrl|845242,331.74
2020-01-16,yandex_direct,gnrl|863656,248.84
2020-01-16,yandex_direct,gnrl|953233,356.28999999999996
2020-01-17,fb,gnrl|755263,70.54
2020-01-17,fb,lal|772023,473.08000000000004
2020-01-17,vk,lal|727027,215.24
2020-01-17,yandex_direct,gnrl|326308,304.05
2020-01-17,yandex_direct,gnrl|445275,248.64000000000001
2020-01-17,yandex_direct,gnrl|845242,108.26
2020-01-17,yandex_direct,gnrl|863656,406.04
2020-01-17,yandex_direct,gnrl|953233,88.06
2020-01-17,yandex_direct,ret|574813,281.48
2020-01-18,fb,gnrl|755263,405.89
2020-01-18,fb,lal|772023,129.94
2020-01-18,google_ads,lal|487809,684.8299999999999
2020-01-18,vk,lal|727027,173.44
2020-01-18,yandex_direct,gnrl|326308,459.53
2020-01-18,yandex_direct,gnrl|445275,190.89
2020-01-18,yandex_direct,gnrl|845242,489.74
2020-01-18,yandex_direct,gnrl|863656,46.82
2020-01-18,yandex_direct,gnrl|953233,352.26
2020-01-18,yandex_direct,ret|574813,382.0
2020-01-19,fb,gnrl|755263,63.17
2020-01-19,fb,lal|772023,315.14
2020-01-19,google_ads,lal|487809,498.64
2020-01-19,vk,lal|727027,653.74
2020-01-19,yandex_direct,gnrl|326308,83.1
2020-01-19,yandex_direct,gnrl|845242,223.05
2020-01-19,yandex_direct,gnrl|863656,141.14
2020-01-19,yandex_direct,gnrl|953233,79.77
2020-01-19,yandex_direct,ret|574813,278.71000000000004
2020-01-20,fb,gnrl|755263,235.75
2020-01-20,fb,lal|772023,317.47
2020-01-20,google_ads,lal|487809,237.48000000000002
2020-01-20,vk,lal|727027,463.07
2020-01-20,yandex_direct,gnrl|326308,210.47
2020-01-20,yandex_direct,gnrl|445275,342.54
2020-01-20,yandex_direct,gnrl|845242,764.75
2020-01-20,yandex_direct,gnrl|953233,161.5
2020-01-20,yandex_direct,ret|574813,542.75
2020-01-21,fb,gnrl|755263,77.14
2020-01-21,fb,lal|772023,183.93
2020-01-21,google_ads,lal|487809,206.59
2020-01-21,vk,lal|727027,129.26
2020-01-21,yandex_direct,gnrl|445275,341.94
2020-01-21,yandex_direct,gnrl|863656,348.71
2020-01-21,yandex_direct,gnrl|953233,74.39
2020-01-21,yandex_direct,ret|574813,54.34
2020-01-22,fb,gnrl|755263,95.99
2020-01-22,fb,lal|772023,275.58
2020-01-22,google_ads,lal|487809,850.32
2020-01-22,vk,lal|727027,133.5
2020-01-22,yandex_direct,gnrl|326308,104.04
2020-01-22,yandex_direct,gnrl|445275,200.93
2020-01-22,yandex_direct,gnrl|845242,89.24
2020-01-22,yandex_direct,gnrl|863656,396.96
2020-01-22,yandex_direct,ret|574813,214.15
2020-01-23,fb,gnrl|755263,134.47
2020-01-23,google_ads,lal|487809,511.81
2020-01-23,vk,lal|727027,86.86
2020-01-23,yandex_direct,gnrl|326308,286.49
2020-01-23,yandex_direct,gnrl|445275,346.98
2020-01-23,yandex_direct,gnrl|845242,587.3
2020-01-23,yandex_direct,gnrl|863656,248.25
2020-01-23,yandex_direct,ret|574813,442.15
2020-01-24,fb,gnrl|755263,185.12
2020-01-24,fb,lal|772023,316.11
2020-01-24,google_ads,lal|487809,633.98
2020-01-24,vk,lal|727027,354.63
2020-01-24,yandex_direct,gnrl|326308,301.02
2020-01-24,yandex_direct,gnrl|445275,474.78
2020-01-24,yandex_direct,gnrl|845242,64.16
2020-01-24,yandex_direct,gnrl|863656,416.32
2020-01-24,yandex_direct,ret|574813,892.0899999999999
2020-01-25,fb,lal|772023,287.73
2020-01-25,vk,lal|727027,139.7
2020-01-25,yandex_direct,gnrl|445275,147.85
2020-01-25,yandex_direct,gnrl|845242,110.69
2020-01-25,yandex_direct,gnrl|863656,112.53
2020-01-25,yandex_direct,gnrl|953233,181.53
2020-01-25,yandex_direct,ret|574813,475.7
2020-01-26,fb,gnrl|755263,67.11
2020-01-26,fb,lal|772023,373.53999999999996
2020-01-26,google_ads,lal|487809,176.94
2020-01-26,vk,lal|727027,430.5
2020-01-26,yandex_direct,gnrl|326308,306.11
2020-01-26,yandex_direct,gnrl|445275,259.24
2020-01-26,yandex_direct,gnrl|845242,272.91
2020-01-26,yandex_direct,gnrl|863656,305.6
2020-01-26,yandex_direct,gnrl|953233,238.93
2020-01-26,yandex_direct,ret|574813,199.2
2020-01-27,fb,lal|772023,131.11
2020-01-27,google_ads,lal|487809,131.61
2020-01-27,vk,lal|727027,125.14
2020-01-27,yandex_direct,gnrl|326308,98.46
2020-01-27,yandex_direct,gnrl|445275,117.83
2020-01-27,yandex_direct,gnrl|845242,592.56
2020-01-27,yandex_direct,gnrl|863656,332.68
2020-01-27,yandex_direct,gnrl|953233,124.16
2020-01-27,yandex_direct,ret|574813,95.47
2020-01-28,fb,gnrl|755263,72.57
2020-01-28,fb,lal|772023,372.47
2020-01-28,google_ads,lal|487809,529.07
2020-01-28,vk,lal|727027,520.54
2020-01-28,yandex_direct,gnrl|326308,98.24
2020-01-28,yandex_direct,gnrl|445275,703.24
2020-01-28,yandex_direct,gnrl|845242,616.62
2020-01-28,yandex_direct,gnrl|953233,371.09
2020-01-28,yandex_direct,ret|574813,177.81
2020-01-29,fb,lal|772023,409.49
2020-01-29,google_ads,lal|487809,335.35
2020-01-29,vk,lal|727027,273.68
2020-01-29,yandex_direct,gnrl|326308,57.23
2020-01-29,yandex_direct,gnrl|445275,373.35
2020-01-29,yandex_direct,gnrl|953233,266.52
2020-01-29,yandex_direct,ret|574813,118.28
2020-01-30,fb,lal|772023,231.16
2020-01-30,vk,lal|727027,228.26
2020-01-30,yandex_direct,gnrl|326308,108.67
2020-01-30,yandex_direct,gnrl|445275,133.35
2020-01-30,yandex_direct,gnrl|845242,620.76
2020-01-30,yandex_direct,gnrl|863656,431.79999999999995
2020-01-31,fb,gnrl|755263,231.29999999999995
2020-01-31,fb,lal|772023,348.12
2020-01-31,google_ads,lal|487809,853.87
2020-01-31,vk,lal|727027,205.44
2020-01-31,yandex_direct,gnrl|445275,627.1800000000001
2020-01-31,yandex_direct,gnrl|845242,121.86
2020-01-31,yandex_direct,gnrl|863656,442.40000000000003
2020-01-31,yandex_direct,gnrl|953233,113.54
2020-01-31,yandex_direct,ret|574813,448.15
2020-02-01,fb,lal|772023,446.35
2020-02-01,google_ads,lal|487809,479.71000000000004
2020-02-01,vk,lal|727027,740.71
2020-02-01,yandex_direct,gnrl|326308,134.23000000000002
2020-02-01,yandex_direct,gnrl|445275,108.14
2020-02-01,yandex_direct,gnrl|845242,454.16999999999996
2020-02-01,yandex_direct,gnrl|863656,331.94
2020-02-01,yandex_direct,gnrl|953233,84.31
2020-02-01,yandex_direct,ret|574813,149.97
2020-02-02,fb,gnrl|755263,257.32
2020-02-02,fb,lal|772023,273.96000000000004
2020-02-02,google_ads,lal|487809,387.79999999999995
2020-02-02,yandex_direct,gnrl|326308,108.14
2020-02-02,yandex_direct,gnrl|445275,146.76
2020-02-02,yandex_direct,gnrl|845242,353.12
2020-02-02,yandex_direct,gnrl|863656,341.92
2020-02-02,yandex_direct,gnrl|953233,175.47
2020-02-02,yandex_direct,ret|574813,483.47
2020-02-03,fb,gnrl|755263,172.44
2020-02-03,fb,lal|772023,304.94
2020-02-03,google_ads,lal|487809,172.96
2020-02-03,yandex_direct,gnrl|326308,194.71
2020-02-03,yandex_direct,gnrl|863656,170.24
2020-02-03,yandex_direct,gnrl|953233,69.71
2020-02-03,yandex_direct,ret|574813,234.73000000000002
2020-02-04,fb,gnrl|755263,82.39
2020-02-04,fb,lal|772023,299.91
2020-02-04,google_ads,lal|487809,56.85
2020-02-04,vk,lal|727027,358.6
2020-02-04,yandex_direct,gnrl|326308,108.25
2020-02-04,yandex_direct,gnrl|445275,330.11
2020-02-04,yandex_direct,gnrl|845242,291.16999999999996
2020-02-04,yandex_direct,gnrl|863656,340.91999999999996
2020-02-04,yandex_direct,gnrl|953233,379.11
2020-02-05,fb,gnrl|755263,88.41
2020-02-05,fb,lal|772023,356.53999999999996
2020-02-05,google_ads,lal|487809,671.26
2020-02-05,vk,lal|727027,310.06
2020-02-05,yandex_direct,gnrl|326308,590.78
2020-02-05,yandex_direct,gnrl|445275,630.8199999999999
2020-02-05,yandex_direct,gnrl|845242,1246.87
2020-02-05,yandex_direct,gnrl|863656,232.44
2020-02-05,yandex_direct,gnrl|953233,101.06
2020-02-05,yandex_direct,ret|574813,494.58000000000004
2020-02-06,fb,gnrl|755263,164.1
2020-02-06,fb,lal|772023,697.51
2020-02-06,google_ads,lal|487809,383.03999999999996
2020-02-06,vk,lal|727027,294.13
2020-02-06,yandex_direct,gnrl|326308,307.0
2020-02-06,yandex_direct,gnrl|445275,830.45
2020-02-06,yandex_direct,gnrl|845242,109.93
2020-02-06,yandex_direct,gnrl|863656,101.58
2020-02-06,yandex_direct,gnrl|953233,150.58
2020-02-07,fb,gnrl|755263,45.4
2020-02-07,fb,lal|772023,474.88
2020-02-07,google_ads,lal|487809,148.61
2020-02-07,vk,lal|727027,140.23
2020-02-07,yandex_direct,gnrl|445275,128.09
2020-02-07,yandex_direct,gnrl|863656,192.57999999999998
2020-02-07,yandex_direct,gnrl|953233,439.9
2020-02-07,yandex_direct,ret|574813,152.46
2020-02-08,fb,gnrl|755263,52.58
2020-02-08,fb,lal|772023,103.98
2020-02-08,google_ads,lal|487809,1051.1399999999999
2020-02-08,vk,lal|727027,138.46
2020-02-08,yandex_direct,gnrl|326308,202.85
2020-02-08,yandex_direct,gnrl|445275,839.1899999999998
2020-02-08,yandex_direct,gnrl|953233,219.42000000000002
2020-02-09,fb,gnrl|755263,201.8
2020-02-09,fb,lal|772023,265.8
2020-02-09,google_ads,lal|487809,499.85
2020-02-09,vk,lal|727027,126.29
2020-02-09,yandex_direct,gnrl|326308,141.4
2020-02-09,yandex_direct,gnrl|445275,248.29
2020-02-09,yandex_direct,gnrl|845242,209.81
2020-02-09,yandex_direct,gnrl|953233,119.29
2020-02-09,yandex_direct,ret|574813,351.77
2020-02-10,fb,lal|772023,718.27
2020-02-10,vk,lal|727027,387.47999999999996
2020-02-10,yandex_direct,gnrl|326308,43.43
2020-02-10,yandex_direct,gnrl|445275,680.09
2020-02-10,yandex_direct,gnrl|863656,268.26
2020-02-10,yandex_direct,gnrl|953233,401.99
2020-02-10,yandex_direct,ret|574813,298.26
2020-02-11,fb,gnrl|755263,43.92
2020-02-11,fb,lal|772023,446.86
2020-02-11,google_ads,lal|487809,379.23
2020-02-11,vk,lal|727027,127.63
2020-02-11,yandex_direct,gnrl|326308,32.39
2020-02-11,yandex_direct,gnrl|445275,166.6
2020-02-11,yandex_direct,gnrl|863656,106.72
2020-02-11,yandex_direct,gnrl|953233,394.51
2020-02-11,yandex_direct,ret|574813,751.7700000000001
2020-02-12,fb,gnrl|755263,313.8
2020-02-12,fb,lal|772023,196.16
2020-02-12,google_ads,lal|487809,129.24
2020-02-12,vk,lal|727027,90.81
2020-02-12,yandex_direct,gnrl|326308,173.95
2020-02-12,yandex_direct,gnrl|445275,96.76
2020-02-12,yandex_direct,gnrl|863656,324.89
2020-02-12,yandex_direct,gnrl|953233,416.91999999999996
2020-02-12,yandex_direct,ret|574813,664.52
2020-02-13,fb,gnrl|755263,63.47
2020-02-13,fb,lal|772023,201.61
2020-02-13,vk,lal|727027,199.9
2020-02-13,yandex_direct,gnrl|445275,104.9
2020-02-13,yandex_direct,gnrl|845242,1356.9299999999998
2020-02-13,yandex_direct,gnrl|863656,135.25
2020-02-13,yandex_direct,gnrl|953233,399.16999999999996
2020-02-13,yandex_direct,ret|574813,213.57999999999998
2020-02-14,fb,gnrl|755263,150.17
2020-02-14,fb,lal|772023,164.19
2020-02-14,google_ads,lal|487809,223.68
2020-02-14,vk,lal|727027,82.14
2020-02-14,yandex_direct,gnrl|326308,613.75
2020-02-14,yandex_direct,gnrl|445275,266.57
2020-02-14,yandex_direct,gnrl|845242,385.24
2020-02-14,yandex_direct,gnrl|863656,215.09
2020-02-14,yandex_direct,gnrl|953233,459.29
2020-02-15,fb,gnrl|755263,81.01
2020-02-15,google_ads,lal|487809,821.4
2020-02-15,vk,lal|727027,343.44
2020-02-15,yandex_direct,gnrl|326308,431.79
2020-02-15,yandex_direct,gnrl|445275,234.22000000000003
2020-02-15,yandex_direct,gnrl|953233,79.92
2020-02-15,yandex_direct,ret|574813,370.44
2020-02-16,fb,gnrl|755263,167.31
2020-02-16,fb,lal|772023,423.72
2020-02-16,google_ads,lal|487809,500.45000000000005
2020-02-16,yandex_direct,gnrl|326308,95.4
2020-02-16,yandex_direct,gnrl|445275,182.21
2020-02-16,yandex_direct,gnrl|863656,353.32
2020-02-16,yandex_direct,gnrl|953233,98.45
2020-02-16,yandex_direct,ret|574813,105.15
2020-02-17,fb,lal|772023,238.18
2020-02-17,google_ads,lal|487809,83.26
2020-02-17,vk,lal|727027,460.13
2020-02-17,yandex_direct,gnrl|326308,237.44
2020-02-17,yandex_direct,gnrl|845242,615.5899999999999
2020-02-17,yandex_direct,gnrl|863656,206.8
2020-02-17,yandex_direct,gnrl|953233,250.01999999999998
2020-02-17,yandex_direct,ret|574813,568.23
2020-02-18,fb,gnrl|755263,201.79
2020-02-18,fb,lal|772023,150.31
2020-02-18,google_ads,lal|487809,169.44
2020-02-18,vk,lal|727027,136.31
2020-02-18,yandex_direct,gnrl|326308,116.55
2020-02-18,yandex_direct,gnrl|445275,140.39
2020-02-18,yandex_direct,gnrl|845242,164.66
2020-02-18,yandex_direct,gnrl|863656,309.87
2020-02-18,yandex_direct,gnrl|953233,81.85
2020-02-18,yandex_direct,ret|574813,155.84
2020-02-19,fb,gnrl|755263,62.14
2020-02-19,google_ads,lal|487809,864.5600000000001
2020-02-19,vk,lal|727027,245.38
2020-02-19,yandex_direct,gnrl|445275,110.4
2020-02-19,yandex_direct,gnrl|845242,299.55
2020-02-19,yandex_direct,gnrl|953233,403.28
2020-02-19,yandex_direct,ret|574813,229.49
2020-02-20,fb,gnrl|755263,147.31
2020-02-20,fb,lal|772023,384.21000000000004
2020-02-20,google_ads,lal|487809,115.22
2020-02-20,vk,lal|727027,205.56
2020-02-20,yandex_direct,gnrl|326308,121.64
2020-02-20,yandex_direct,gnrl|445275,140.24
2020-02-20,yandex_direct,gnrl|845242,258.71999999999997
2020-02-20,yandex_direct,gnrl|863656,76.3
2020-02-20,yandex_direct,gnrl|953233,78.65
2020-02-21,fb,gnrl|755263,454.85999999999996
2020-02-21,fb,lal|772023,545.3
2020-02-21,google_ads,lal|487809,220.77
2020-02-21,vk,lal|727027,274.53
2020-02-21,yandex_direct,gnrl|326308,209.06
2020-02-21,yandex_direct,gnrl|445275,232.52999999999997
2020-02-21,yandex_direct,gnrl|953233,213.93
2020-02-21,yandex_direct,ret|574813,221.46
2020-02-22,fb,gnrl|755263,275.02
2020-02-22,fb,lal|772023,697.4699999999999
2020-02-22,google_ads,lal|487809,427.37
2020-02-22,vk,lal|727027,359.0
2020-02-22,yandex_direct,gnrl|326308,108.56
2020-02-22,yandex_direct,gnrl|445275,255.88
2020-02-22,yandex_direct,gnrl|845242,198.67000000000002
2020-02-22,yandex_direct,gnrl|863656,106.66
2020-02-22,yandex_direct,gnrl|953233,311.74
2020-02-22,yandex_direct,ret|574813,299.51
2020-02-23,fb,lal|772023,763.6200000000001
2020-02-23,google_ads,lal|487809,819.0699999999999
2020-02-23,yandex_direct,gnrl|326308,293.32
2020-02-23,yandex_direct,gnrl|445275,512.3000000000001
2020-02-23,yandex_direct,gnrl|845242,484.21000000000004
2020-02-23,yandex_direct,gnrl|863656,353.69
2020-02-23,yandex_direct,gnrl|953233,87.01
2020-02-23,yandex_direct,ret|574813,355.83
2020-02-24,fb,gnrl|755263,234.89
2020-02-24,fb,lal|772023,677.66
2020-02-24,google_ads,lal|487809,374.47
2020-02-24,vk,lal|727027,163.87
2020-02-24,yandex_direct,gnrl|326308,128.71
2020-02-24,yandex_direct,gnrl|445275,876.08
2020-02-24,yandex_direct,gnrl|845242,383.94
2020-02-24,yandex_direct,gnrl|863656,276.37
2020-02-24,yandex_direct,gnrl|953233,88.62
2020-02-24,yandex_direct,ret|574813,135.22
2020-02-25,fb,gnrl|755263,627.98
2020-02-25,fb,lal|772023,328.26
2020-02-25,google_ads,lal|487809,319.3
2020-02-25,vk,lal|727027,342.54
2020-02-25,yandex_direct,gnrl|445275,249.89
2020-02-25,yandex_direct,gnrl|845242,168.7
2020-02-25,yandex_direct,gnrl|863656,59.54
2020-02-25,yandex_direct,ret|574813,356.1
2020-02-26,fb,gnrl|755263,209.18
2020-02-26,fb,lal|772023,318.72
2020-02-26,vk,lal|727027,167.93
2020-02-26,yandex_direct,gnrl|326308,89.23
2020-02-26,yandex_direct,gnrl|445275,115.07
2020-02-26,yandex_direct,gnrl|863656,135.3
2020-02-26,yandex_direct,gnrl|953233,187.55
2020-02-27,fb,lal|772023,103.61
2020-02-27,google_ads,lal|487809,431.05
2020-02-27,yandex_direct,gnrl|326308,960.7
2020-02-27,yandex_direct,gnrl|445275,353.06
2020-02-27,yandex_direct,gnrl|863656,267.96999999999997
2020-02-27,yandex_direct,gnrl|953233,276.46
2020-02-28,fb,lal|772023,329.85
2020-02-28,google_ads,lal|487809,574.03
2020-02-28,vk,lal|727027,474.65
2020-02-28,yandex_direct,gnrl|445275,228.31
2020-02-28,yandex_direct,gnrl|845242,175.74
2020-02-28,yandex_direct,gnrl|863656,480.71999999999997
2020-02-28,yandex_direct,ret|574813,273.77
2020-02-29,fb,gnrl|755263,75.5
2020-02-29,fb,lal|772023,351.72
2020-02-29,vk,lal|727027,104.44
2020-02-29,yandex_direct,gnrl|326308,181.8
2020-02-29,yandex_direct,gnrl|445275,162.15
2020-02-29,yandex_direct,gnrl|845242,339.65
2020-02-29,yandex_direct,gnrl|863656,252.1
2020-02-29,yandex_direct,gnrl|953233,113.57
2020-02-29,yandex_direct,ret|574813,223.73999999999998
2020-03-01,fb,gnrl|755263,57.39
2020-03-01,google_ads,lal|487809,542.53
2020-03-01,vk,lal|727027,236.17000000000002
2020-03-01,yandex_direct,gnrl|326308,79.39
2020-03-01,yandex_direct,gnrl|445275,266.78999999999996
2020-03-01,yandex_direct,gnrl|845242,418.38
2020-03-01,yandex_direct,gnrl|953233,56.52
2020-03-01,yandex_direct,ret|574813,288.09000000000003
2020-03-02,fb,lal|772023,709.1800000000001
2020-03-02,google_ads,lal|487809,890.0699999999999
2020-03-02,yandex_direct,gnrl|326308,50.69
2020-03-02,yandex_direct,gnrl|445275,291.35
2020-03-02,yandex_direct,gnrl|845242,373.93
2020-03-02,yandex_direct,gnrl|863656,94.57
2020-03-02,yandex_direct,gnrl|953233,71.11
2020-03-02,yandex_direct,ret|574813,614.26
2020-03-03,fb,gnrl|755263,101.59
2020-03-03,fb,lal|772023,868.63
2020-03-03,google_ads,lal|487809,265.36
2020-03-03,vk,lal|727027,655.86
2020-03-03,yandex_direct,gnrl|326308,149.48000000000002
2020-03-03,yandex_direct,gnrl|445275,191.08
2020-03-03,yandex_direct,gnrl|845242,420.27000000000004
2020-03-03,yandex_direct,gnrl|863656,38.84
2020-03-03,yandex_direct,gnrl|953233,64.83
2020-03-03,yandex_direct,ret|574813,197.45
2020-03-04,fb,gnrl|755263,105.69999999999999
2020-03-04,fb,lal|772023,277.98
2020-03-04,google_ads,lal|487809,230.36
2020-03-04,vk,lal|727027,83.39
2020-03-04,yandex_direct,gnrl|326308,361.93999999999994
2020-03-04,yandex_direct,gnrl|445275,141.7
2020-03-04,yandex_direct,gnrl|845242,197.74
2020-03-04,yandex_direct,gnrl|863656,81.26
2020-03-04,yandex_direct,ret|574813,450.62
2020-03-05,fb,gnrl|755263,74.87
2020-03-05,fb,lal|772023,232.6
2020-03-05,google_ads,lal|487809,380.15999999999997
2020-03-05,vk,lal|727027,115.33
2020-03-05,yandex_direct,gnrl|845242,183.62
2020-03-05,yandex_direct,gnrl|863656,102.49
2020-03-05,yandex_direct,gnrl|953233,335.33
2020-03-05,yandex_direct,ret|574813,478.79
2020-03-06,fb,gnrl|755263,326.06
2020-03-06,fb,lal|772023,825.77
2020-03-06,google_ads,lal|487809,230.06
2020-03-06,vk,lal|727027,748.47
2020-03-06,yandex_direct,gnrl|326308,48.78
2020-03-06,yandex_direct,gnrl|445275,158.16
2020-03-06,yandex_direct,gnrl|845242,331.86
2020-03-06,yandex_direct,gnrl|863656,91.53
2020-03-06,yandex_direct,ret|574813,136.06
2020-03-07,fb,gnrl|755263,237.01
2020-03-07,fb,lal|772023,100.31
2020-03-07,google_ads,lal|487809,338.56
2020-03-07,vk,lal|727027,154.43
2020-03-07,yandex_direct,gnrl|845242,475.93
2020-03-07,yandex_direct,gnrl|863656,121.22
2020-03-07,yandex_direct,gnrl|953233,232.6
2020-03-07,yandex_direct,ret|574813,449.76
2020-03-08,fb,gnrl|755263,50.14
2020-03-08,fb,lal|772023,413.95
2020-03-08,google_ads,lal|487809,198.16
2020-03-08,vk,lal|727027,108.37
2020-03-08,yandex_direct,gnrl|326308,498.95
2020-03-08,yandex_direct,gnrl|445275,64.65
2020-03-08,yandex_direct,gnrl|953233,90.05
2020-03-08,yandex_direct,ret|574813,441.35999999999996
2020-03-09,fb,gnrl|755263,317.12
2020-03-09,fb,lal|772023,479.1700000000001
2020-03-09,google_ads,lal|487809,866.29
2020-03-09,vk,lal|727027,194.43
2020-03-09,yandex_direct,gnrl|326308,217.09
2020-03-09,yandex_direct,gnrl|445275,161.93
2020-03-09,yandex_direct,gnrl|845242,474.56
2020-03-09,yandex_direct,gnrl|863656,77.99
2020-03-09,yandex_direct,gnrl|953233,72.93
2020-03-10,fb,gnrl|755263,107.2
2020-03-10,fb,lal|772023,419.18
2020-03-10,google_ads,lal|487809,530.69
2020-03-10,vk,lal|727027,170.22
2020-03-10,yandex_direct,gnrl|326308,220.91
2020-03-10,yandex_direct,gnrl|445275,383.03999999999996
2020-03-10,yandex_direct,gnrl|845242,444.5
2020-03-10,yandex_direct,gnrl|863656,513.9
2020-03-10,yandex_direct,ret|574813,210.96
2020-03-11,fb,lal|772023,341.96000000000004
2020-03-11,google_ads,lal|487809,393.39
2020-03-11,yandex_direct,gnrl|326308,446.11
2020-03-11,yandex_direct,gnrl|445275,581.94
2020-03-11,yandex_direct,gnrl|845242,498.58
2020-03-11,yandex_direct,gnrl|863656,108.43
2020-03-11,yandex_direct,gnrl|953233,267.71
2020-03-11,yandex_direct,ret|574813,220.92000000000002
2020-03-12,fb,gnrl|755263,63.66
2020-03-12,fb,lal|772023,417.14
